"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2020","8,279,000","8,589,000","8,589,000","8,279,000","4.06K","-3.61%"
"Nov 30, 2020","8,589,000","8,131,000","8,589,000","8,131,000","3.21K","5.63%"
"Nov 29, 2020","8,131,000","7,625,000","8,131,000","7,625,000","1.70K","6.64%"
"Nov 28, 2020","7,625,000","7,300,000","7,625,000","7,300,000","1.73K","4.45%"
"Nov 27, 2020","7,300,000","7,355,000","7,355,000","7,300,000","1.78K","-0.75%"
"Nov 26, 2020","7,355,000","8,102,000","8,102,000","7,355,000","6.40K","-9.22%"
"Nov 25, 2020","8,102,000","8,502,000","8,502,000","8,102,000","2.45K","-4.70%"
"Nov 24, 2020","8,502,000","8,604,000","8,739,000","8,388,000","3.19K","-1.19%"
"Nov 23, 2020","8,604,000","7,922,000","8,604,000","7,922,000","3.53K","8.61%"
"Nov 22, 2020","7,922,000","7,800,000","7,922,000","7,540,000","2.79K","1.56%"
"Nov 21, 2020","7,800,000","7,184,000","7,800,000","7,184,000","2.63K","8.57%"
"Nov 20, 2020","7,184,000","6,677,000","7,184,000","6,677,000","2.82K","7.59%"
"Nov 19, 2020","6,677,000","6,761,000","6,761,000","6,650,000","1.34K","-1.24%"
"Nov 18, 2020","6,761,000","6,759,000","6,761,000","6,759,000","2.81K","0.03%"
"Nov 17, 2020","6,759,000","6,526,000","6,759,000","6,526,000","1.46K","3.57%"
"Nov 16, 2020","6,526,000","6,433,000","6,526,000","6,433,000","1.80K","1.45%"
"Nov 15, 2020","6,433,000","6,609,000","6,609,000","6,433,000","1.11K","-2.66%"
"Nov 14, 2020","6,609,000","6,760,000","6,760,000","6,609,000","1.10K","-2.23%"
"Nov 13, 2020","6,760,000","6,568,000","6,760,000","6,568,000","1.65K","2.92%"
"Nov 12, 2020","6,568,000","6,540,000","6,568,000","6,540,000","1.81K","0.43%"
"Nov 11, 2020","6,540,000","6,351,000","6,562,000","6,351,000","1.59K","2.98%"
"Nov 10, 2020","6,351,000","6,320,000","6,395,000","6,320,000","1.21K","0.49%"
"Nov 09, 2020","6,320,000","6,488,000","6,488,000","6,291,000","1.65K","-2.59%"
"Nov 08, 2020","6,488,000","6,225,000","6,488,000","6,225,000","1.29K","4.22%"
"Nov 07, 2020","6,225,000","6,517,000","6,517,000","6,225,000","2.57K","-4.48%"
"Nov 06, 2020","6,517,000","5,994,000","6,517,000","5,994,000","3.60K","8.73%"
"Nov 05, 2020","5,994,000","5,828,000","6,000,000","5,776,000","2.00K","2.85%"
"Nov 04, 2020","5,828,000","5,656,000","5,828,000","5,573,000","2.00K","3.04%"
"Nov 03, 2020","5,656,000","5,630,000","5,656,000","5,630,000","1.58K","0.46%"
"Nov 02, 2020","5,630,000","5,766,000","5,766,000","5,627,000","1.30K","-2.36%"
"Nov 01, 2020","5,766,000","5,654,000","5,766,000","5,654,000","0.54K","1.98%"
"Oct 31, 2020","5,654,000","5,603,000","5,654,000","5,603,000","1.07K","0.91%"
"Oct 30, 2020","5,603,000","5,664,000","5,664,000","5,603,000","1.12K","-1.08%"
"Oct 29, 2020","5,664,000","5,706,000","5,706,000","5,664,000","1.12K","-0.74%"
"Oct 28, 2020","5,706,000","5,902,000","5,902,000","5,706,000","1.66K","-3.32%"
"Oct 27, 2020","5,902,000","5,736,000","5,902,000","5,736,000","1.16K","2.89%"
"Oct 26, 2020","5,736,000","5,931,000","5,931,000","5,736,000","1.06K","-3.29%"
"Oct 25, 2020","5,931,000","5,995,000","6,025,000","5,931,000","0.79K","-1.07%"
"Oct 24, 2020","5,995,000","5,951,000","5,995,000","5,951,000","0.57K","0.74%"
"Oct 23, 2020","5,951,000","6,015,000","6,015,000","5,951,000","1.11K","-1.06%"
"Oct 22, 2020","6,015,000","5,700,000","6,015,000","5,700,000","1.83K","5.53%"
"Oct 21, 2020","5,700,000","5,402,000","5,700,000","5,402,000","2.56K","5.52%"
"Oct 20, 2020","5,402,000","5,548,000","5,548,000","5,402,000","1.30K","-2.63%"
"Oct 19, 2020","5,548,000","5,530,000","5,553,000","5,504,000","0.66K","0.33%"
"Oct 18, 2020","5,530,000","5,425,000","5,530,000","5,425,000","0.65K","2.01%"
"Oct 17, 2020","5,421,000","5,410,000","5,421,000","5,410,000","0.42K","0.20%"
"Oct 16, 2020","5,410,000","5,530,000","5,530,000","5,410,000","0.85K","-2.17%"
"Oct 15, 2020","5,530,000","5,544,000","5,544,000","5,530,000","0.91K","-0.25%"
"Oct 14, 2020","5,544,000","5,551,000","5,551,000","5,534,000","0.83K","-0.13%"
"Oct 13, 2020","5,551,000","5,603,000","5,603,000","5,551,000","0.87K","-0.93%"
"Oct 12, 2020","5,603,000","5,419,000","5,603,000","5,419,000","1.32K","3.40%"
"Oct 11, 2020","5,419,000","5,396,000","5,419,000","5,396,000","0.63K","0.43%"
"Oct 10, 2020","5,396,000","5,340,000","5,396,000","5,340,000","1.10K","1.05%"
"Oct 09, 2020","5,340,000","5,146,000","5,340,000","5,127,000","1.41K","3.77%"
"Oct 08, 2020","5,146,000","5,029,000","5,146,000","5,029,000","1.32K","2.33%"
"Oct 07, 2020","5,029,000","5,057,000","5,057,000","5,029,000","1.32K","-0.55%"
