Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,14829.855469,14853.000000,14672.400391,14853.000000,14853.000000,0
2020-10-06,14705.000000,14773.500000,14675.500000,14780.182617,14780.182617,0
2020-10-07,14780.500000,14846.492188,14709.000000,14773.000000,14773.000000,0
2020-10-08,14727.500000,14764.000000,14692.500000,14715.500000,14715.500000,0
2020-10-09,14759.200195,14759.200195,14619.900391,14676.996094,14676.996094,0
2020-10-12,14683.480469,14751.500000,14681.641602,14693.000000,14693.000000,0
2020-10-13,14775.000000,14787.799805,14484.252930,14484.992188,14484.992188,0
2020-10-14,14790.000000,14790.000000,14664.677734,14793.000000,14793.000000,0
2020-10-15,14758.200195,14800.200195,14671.540039,14681.462891,14681.462891,0
2020-10-16,14779.200195,14779.200195,14652.599609,14652.500000,14652.500000,0
2020-10-19,14693.000000,14770.000000,14663.594727,14693.000000,14693.000000,0
2020-10-20,14705.000000,14730.000000,14640.500000,14708.000000,14708.000000,0
2020-10-21,14685.000000,14701.599609,14527.241211,14688.000000,14688.000000,0
2020-10-22,14635.000000,14744.000000,14613.000000,14639.775391,14639.775391,0
2020-10-23,14743.000000,14745.000000,14640.000000,14639.852539,14639.852539,0
2020-10-26,14662.891602,14716.400391,14645.500000,14642.782227,14642.782227,0
2020-10-27,14724.200195,14724.200195,14618.000000,14724.200195,14724.200195,0
2020-10-28,14670.000000,14810.299805,14652.360352,14653.274414,14653.274414,0
2020-10-29,14777.200195,14811.099609,14730.900391,14777.200195,14777.200195,0
2020-10-30,14462.905273,14819.299805,14462.905273,14818.000000,14818.000000,0
2020-11-02,14632.281250,14748.799805,14611.200195,14586.169922,14586.169922,0
2020-11-03,14604.183594,14669.200195,14445.700195,14603.958008,14603.958008,0
2020-11-04,14493.799805,14623.799805,14126.799805,14540.892578,14540.892578,0
2020-11-05,14360.000000,14507.526367,14237.799805,14360.000000,14360.000000,0
2020-11-06,14256.000000,14316.799805,14190.000000,14256.000000,14256.000000,0
2020-11-09,14175.929688,14218.500000,13931.700195,14198.671875,14198.671875,0
2020-11-10,14050.000000,14263.838867,13984.700195,14256.360352,14256.360352,0
2020-11-11,14140.000000,14224.200195,13990.500000,14041.544922,14041.544922,0
2020-11-12,13876.415039,14233.000000,13876.342773,13878.989258,13878.989258,0
2020-11-13,14135.591797,14241.400391,14127.009766,14133.491211,14133.491211,0
2020-11-16,14123.129883,14163.000000,14067.700195,14135.559570,14135.559570,0
2020-11-17,14089.200195,14122.099609,14031.000000,14089.200195,14089.200195,0
2020-11-18,14025.951172,14130.700195,14025.242188,14026.451172,14026.451172,0
2020-11-19,14110.200195,14259.400391,14096.200195,14110.200195,14110.200195,0
2020-11-20,14189.900391,14233.599609,14148.000000,14189.900391,14189.900391,0
2020-11-23,14139.513672,14202.799805,14113.290039,14150.991211,14150.991211,0
2020-11-24,14230.000000,14240.400391,14143.000000,14164.605469,14164.605469,0
2020-11-25,14203.099609,14203.099609,14018.200195,14121.799805,14121.799805,0
2020-11-26,14140.000000,14161.000000,14101.000000,14127.470703,14127.470703,0
2020-11-27,14035.000000,14157.200195,13869.327148,13897.668945,13897.668945,0
2020-11-30,14052.721680,14197.799805,13826.873047,14061.644531,14061.644531,0
2020-12-01,14200.000000,14206.000000,13837.651367,14094.935547,14094.935547,0
2020-12-02,14175.000000,14246.700195,13955.200195,14175.000000,14175.000000,0
2020-12-03,14199.200195,14229.200195,14076.219727,14076.419922,14076.419922,0
2020-12-04,14190.000000,14190.000000,14085.956055,14092.798828,14092.798828,0
2020-12-07,14079.809570,14217.400391,14069.865234,14076.490234,14076.490234,0
2020-12-08,14140.000000,14165.500000,14080.000000,14143.000000,14143.000000,0
2020-12-09,14160.000000,14173.599609,14051.299805,14083.010742,14083.010742,0
2020-12-10,14150.000000,14150.000000,14074.131836,14150.000000,14150.000000,0
2020-12-11,14160.700195,14175.000000,14076.000000,14082.592773,14082.592773,0
2020-12-14,14044.110352,14199.299805,14043.978516,14069.157227,14069.157227,0
2020-12-15,14220.900391,14225.000000,14056.459961,14221.900391,14221.900391,0
2020-12-16,14190.000000,14199.000000,14101.081055,14190.000000,14190.000000,0
2020-12-17,14169.200195,14169.200195,14065.741211,14070.537109,14070.537109,0
2020-12-18,14125.000000,14170.000000,14062.000000,14083.850586,14083.850586,0
2020-12-21,14116.253906,14262.599609,14100.000000,14068.937500,14068.937500,0
2020-12-22,14234.200195,14304.799805,14103.630859,14100.731445,14100.731445,0
2020-12-23,14324.200195,14324.200195,14109.723633,14324.200195,14324.200195,0
2020-12-24,14285.000000,14285.000000,14129.102539,14146.901367,14146.901367,0
2020-12-25,14215.000000,14216.799805,13994.311523,14148.643555,14148.643555,0
2020-12-28,14000.846680,14201.000000,13930.023438,13911.143555,13911.143555,0
2020-12-29,14090.000000,14164.000000,14071.500000,14126.120117,14126.120117,0
2020-12-30,14156.500000,14156.500000,13993.400391,14069.909180,14069.909180,0
2020-12-31,13990.000000,14027.299805,13832.334961,13832.559570,13832.559570,0
2021-01-01,13875.000000,14034.473633,13875.000000,13932.374023,13932.374023,0
2021-01-04,13890.578125,14043.000000,13826.099609,14022.500977,14022.500977,0
2021-01-05,13931.400391,13962.000000,13880.000000,13931.400391,13931.400391,0
2021-01-06,13930.000000,13953.599609,13875.000000,13930.000000,13930.000000,0
2021-01-07,13951.500000,14137.500000,13837.664063,13951.500000,13951.500000,0
2021-01-08,14135.000000,14147.400391,13892.977539,13892.977539,13892.977539,0
2021-01-11,13906.610352,14297.000000,13897.016602,13861.392578,13861.392578,0
2021-01-12,14285.000000,14287.299805,14088.097656,14088.735352,14088.735352,0
2021-01-13,14155.000000,14194.900391,14032.256836,14031.078125,14031.078125,0
2021-01-14,14166.000000,14166.000000,13979.900391,14166.000000,14166.000000,0
2021-01-15,14014.000000,14099.000000,13969.500000,14063.147461,14063.147461,0
2021-01-18,13892.552734,14162.000000,13882.990234,13880.779297,13880.779297,0
2021-01-19,14100.799805,14167.555664,14045.700195,14100.799805,14100.799805,0
2021-01-20,14121.299805,14121.299805,13981.400391,14122.000000,14122.000000,0
2021-01-21,14042.000000,14042.000000,13954.200195,14037.200195,14037.200195,0
2021-01-22,14060.000000,14122.000000,13953.569336,13960.761719,13960.761719,0
2021-01-25,14019.114258,14126.299805,14013.000000,14012.895508,14012.895508,0
2021-01-26,14147.500000,14151.299805,14040.000000,14148.500000,14148.500000,0
2021-01-27,14142.000000,14156.500000,14037.090820,14142.000000,14142.000000,0
2021-01-28,14195.000000,14195.000000,14038.654297,14195.000000,14195.000000,0
2021-01-29,14105.000000,14242.379883,13855.864258,13854.864258,13854.864258,0
2021-02-01,13843.521484,14081.299805,13834.980469,13828.136719,13828.136719,0
2021-02-02,14117.500000,14117.500000,13990.900391,14118.500000,14118.500000,0
2021-02-03,14047.500000,14047.500000,13960.299805,13995.535156,13995.535156,0
2021-02-04,14029.500000,14088.000000,13978.838867,13983.952148,13983.952148,0
2021-02-05,14080.000000,14093.500000,13993.500000,14010.473633,14010.473633,0
2021-02-08,14001.219727,14034.099609,13982.000000,14001.103516,14001.103516,0
2021-02-09,14047.299805,14047.299805,13965.400391,13990.459961,13990.459961,0
2021-02-10,14029.200195,14029.200195,13957.900391,13989.188477,13989.188477,0
2021-02-11,14027.000000,14027.000000,13949.500000,14027.000000,14027.000000,0
2021-02-12,14009.799805,14009.799805,13952.200195,13976.240234,13976.240234,0
2021-02-15,13968.453125,13974.599609,13858.299805,13966.000000,13966.000000,0
2021-02-16,13940.599609,14022.299805,13724.613281,13907.000000,13907.000000,0
2021-02-17,14039.200195,14151.500000,13918.000000,14039.200195,14039.200195,0
2021-02-18,14102.500000,14110.000000,13997.651367,14007.474609,14007.474609,0
2021-02-19,14118.000000,14118.000000,13991.900391,13998.198242,13998.198242,0
2021-02-22,13889.534180,14237.200195,13886.353516,13898.416992,13898.416992,0
2021-02-23,14165.000000,14165.000000,14067.799805,14107.696289,14107.696289,0
2021-02-24,14126.200195,14126.200195,14020.299805,14081.617188,14081.617188,0
2021-02-25,14096.799805,14256.500000,14042.799805,14097.799805,14097.799805,0
2021-02-26,14410.000000,14410.000000,13967.285156,13968.185547,13968.185547,0
2021-03-01,14092.257813,14347.500000,14079.678711,14110.584961,14110.584961,0
2021-03-02,14336.200195,14372.000000,14245.419922,14245.620117,14245.620117,0
2021-03-03,14345.000000,14345.000000,14234.766602,14239.181641,14239.181641,0
2021-03-04,14349.000000,14351.500000,14227.799805,14349.000000,14349.000000,0
2021-03-05,14410.000000,14441.000000,14243.856445,14268.879883,14268.879883,0
2021-03-08,14275.891602,14364.000000,14113.595703,14287.392578,14287.392578,0
2021-03-09,14343.933594,14466.000000,14110.560547,14344.475586,14344.475586,0
2021-03-10,14396.559570,14444.200195,14176.063477,14393.000000,14393.000000,0
2021-03-11,14462.599609,14462.599609,14280.900391,14398.000000,14398.000000,0
2021-03-12,14345.000000,14446.500000,14284.900391,14283.900391,14283.900391,0
2021-03-15,14409.400391,14417.299805,14407.400391,14385.208984,14385.208984,0
2021-03-16,14464.000000,14506.799805,14378.400391,14464.000000,14464.000000,0
2021-03-17,14495.000000,14495.200195,14394.700195,14427.500000,14427.500000,0
2021-03-18,14402.000000,14529.799805,14338.000000,14403.000000,14403.000000,0
2021-03-19,14494.799805,14494.799805,14373.500000,14431.000000,14431.000000,0
2021-03-22,14398.000000,14442.400391,14373.099609,14372.200195,14372.200195,0
2021-03-23,14432.700195,14499.000000,14252.500000,14375.799805,14375.799805,0
2021-03-24,14505.500000,14505.500000,14388.000000,14505.500000,14505.500000,0
2021-03-25,14508.700195,14508.700195,14401.500000,14460.000000,14460.000000,0
2021-03-26,14502.099609,14502.099609,14399.900391,14456.400391,14456.400391,0
2021-03-29,14411.000000,14501.000000,14411.000000,14411.000000,14411.000000,0
2021-03-30,14511.700195,14569.599609,14438.000000,14511.700195,14511.700195,0
2021-03-31,14605.000000,14605.000000,14517.099609,14605.000000,14605.000000,0
2021-04-01,14605.000000,14605.000000,14495.299805,14606.000000,14606.000000,0
2021-04-02,14553.000000,14553.000000,14486.000000,14553.000000,14553.000000,0
2021-04-05,14518.000000,14536.000000,14446.500000,14518.000000,14518.000000,0
2021-04-06,14529.200195,14529.200195,14456.299805,14529.200195,14529.200195,0
2021-04-07,14510.000000,14577.599609,14456.200195,14460.299805,14460.299805,0
2021-04-08,14641.000000,14641.000000,14488.000000,14641.000000,14641.000000,0
2021-04-09,14660.700195,14660.700195,14528.000000,14660.700195,14660.700195,0
2021-04-12,14558.000000,14644.000000,14558.000000,14558.000000,14558.000000,0
2021-04-13,14611.900391,14674.000000,14588.000000,14611.900391,14611.900391,0
2021-04-14,14688.000000,14688.000000,14597.200195,14621.099609,14621.099609,0
2021-04-15,14673.799805,14673.799805,14562.599609,14673.799805,14673.799805,0
2021-04-16,14603.000000,14617.000000,14512.299805,14616.000000,14616.000000,0
2021-04-19,14558.000000,14575.599609,14509.099609,14558.000000,14558.000000,0
2021-04-20,14569.299805,14576.099609,14471.500000,14570.000000,14570.000000,0
2021-04-21,14587.299805,14587.299805,14495.000000,14543.200195,14543.200195,0
2021-04-22,14564.200195,14564.200195,14507.000000,14564.200195,14564.200195,0
2021-04-23,14605.900391,14605.900391,14504.400391,14606.599609,14606.599609,0
2021-04-26,14518.000000,14518.000000,14416.500000,14518.000000,14518.000000,0
2021-04-27,14505.099609,14517.000000,14460.700195,14459.599609,14459.599609,0
2021-04-28,14566.000000,14568.500000,14478.000000,14516.400391,14516.400391,0
2021-04-29,14519.000000,14519.000000,14384.900391,14519.000000,14519.000000,0
2021-04-30,14439.700195,14494.700195,14395.599609,14439.700195,14439.700195,0
2021-05-03,14438.000000,14519.799805,14394.799805,14438.000000,14438.000000,0
2021-05-04,14448.500000,14480.200195,14390.500000,14399.099609,14399.099609,0
2021-05-05,14529.000000,14529.000000,14411.299805,14482.500000,14482.500000,0
2021-05-06,14450.000000,14450.000000,14276.200195,14399.500000,14399.500000,0
2021-05-07,14282.799805,14312.000000,14055.900391,14283.799805,14283.799805,0
2021-05-10,14278.000000,14278.000000,14071.299805,14278.000000,14278.000000,0
2021-05-11,14220.000000,14227.299805,14160.500000,14189.599609,14189.599609,0
2021-05-12,14220.000000,14330.799805,14182.500000,14220.000000,14220.000000,0
2021-05-13,14347.000000,14359.200195,14270.799805,14347.000000,14347.000000,0
2021-05-14,14341.000000,14341.000000,14262.900391,14300.299805,14300.299805,0
2021-05-17,14191.000000,14388.099609,14191.000000,14191.000000,14191.000000,0
2021-05-18,14389.299805,14389.299805,14250.599609,14344.500000,14344.500000,0
2021-05-19,14361.299805,14416.200195,14266.000000,14362.299805,14362.299805,0
2021-05-20,14444.700195,14444.700195,14338.000000,14389.700195,14389.700195,0
2021-05-21,14396.299805,14396.299805,14311.200195,14397.299805,14397.299805,0
2021-05-24,14348.000000,14370.400391,14311.500000,14348.000000,14348.000000,0
2021-05-25,14364.000000,14364.000000,14296.500000,14365.000000,14365.000000,0
2021-05-26,14371.400391,14371.400391,14217.099609,14371.400391,14371.400391,0
2021-05-27,14309.000000,14335.099609,14263.799805,14310.000000,14310.000000,0
2021-05-28,14330.000000,14345.099609,14256.500000,14318.000000,14318.000000,0
2021-05-31,14278.000000,14306.799805,14206.500000,14278.000000,14278.000000,0
2021-06-01,14274.200195,14285.500000,14179.799805,14247.500000,14247.500000,0
2021-06-02,14280.000000,14327.799805,14240.000000,14251.500000,14251.500000,0
2021-06-03,14290.700195,14333.799805,14236.500000,14290.700195,14290.700195,0
2021-06-04,14360.000000,14360.000000,14249.200195,14360.000000,14360.000000,0
2021-06-07,14288.000000,14298.299805,14239.000000,14288.000000,14288.000000,0
2021-06-08,14278.299805,14287.700195,14199.650391,14246.500000,14246.500000,0
2021-06-09,14310.700195,14310.700195,14243.500000,14281.000000,14281.000000,0
