,Timestamp,Open,High,Low,Close,Volume,Trend
1107,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1108,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1109,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1110,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1111,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1112,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1113,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1114,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1115,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1116,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1117,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1118,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1119,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1120,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1121,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1122,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1123,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1124,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1125,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1126,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1127,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1128,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1129,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1130,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1131,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1132,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1133,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1134,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1135,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1136,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1137,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1138,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1139,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1140,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1141,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1142,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1143,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1144,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1145,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1146,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1147,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1148,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1149,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1150,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1151,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1152,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1153,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1154,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1155,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1156,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1157,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1158,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1159,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1160,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1161,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1162,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1163,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1164,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1165,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1166,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1167,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1168,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1169,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1170,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1171,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1172,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1173,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1174,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1175,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1176,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1177,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1178,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1179,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1180,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1181,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1182,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1183,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1184,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1185,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1186,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1187,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
